Transaction Date,Posting Date,Description,Foreign Amount,Amount
02/01/2025,03/01/2025,NETFLIX SERVICES,USD 4.99,22.00
04/01/2025,05/01/2025,FOODPANDA MY 001234,,38.90
06/01/2025,07/01/2025,PETRON STATION SS2,,95.50
09/01/2025,10/01/2025,VILLAGE GROCER TTDI,,187.60
11/01/2025,12/01/2025,CHATIME PAVILION,,14.50
13/01/2025,14/01/2025,LAZADA E-COMMERCE,,250.00
16/01/2025,17/01/2025,TNB ELECTRICITY,,210.00
18/01/2025,19/01/2025,GOOGLE ONE 2TB,USD 2.99,13.50
21/01/2025,22/01/2025,GRAB 20250121,,18.00
24/01/2025,25/01/2025,MCDONALDS DT BANGSAR,,26.80
26/01/2025,27/01/2025,GUARDIAN PHARMA,,89.00
27/01/2025,28/01/2025,ICLOUD+ 50GB,USD 0.99,4.50
29/01/2025,30/01/2025,FINANCE CHARGE,,12.30
31/01/2025,31/01/2025,DISNEY PLUS MY,,17.00
