Date,Description,Amount,Balance
01/01/2025,NETFLIX INTERNATIONAL,17.00,983.00
03/01/2025,GRABFOOD*GF123456789,45.50,937.50
05/01/2025,SHELL PETRONAS PJ,120.00,817.50
08/01/2025,JAYA GROCER BANGSAR,210.30,607.20
10/01/2025,STARBUCKS KLCC,18.50,588.70
12/01/2025,SHOPEE PAY,89.90,498.80
15/01/2025,UNIFI MONTHLY CHARGE,89.00,409.80
17/01/2025,SPOTIFY PREMIUM,17.00,392.80
20/01/2025,GRAB RIDE GR987654,25.00,367.80
22/01/2025,KFC HOLDINGS,32.50,335.30
23/01/2025,YOUTUBE PREMIUM,15.90,319.40
25/01/2025,AEON BIG SUBANG,156.70,162.70
28/01/2025,TOUCH N GO EWALLET TOP,100.00,62.70
29/01/2025,ANNUAL FEE,150.00,-87.30
30/01/2025,SALARY CREDIT,4500.00,4412.70
30/01/2025,MAXIS MOBILE POSTPAID,60.00,4352.70
31/01/2025,SERVICE TAX,7.50,4345.20
